ID,name,size,modified,item,items,file,files,folder,folders,by,sort_by_name,sort_by_modified,sort_by_size,error,incorrect_permissions,go_back,try_again,new_folder,new_file,rename,delete,edit,details,list,icons,password,submit,cut,copy,paste,duplicate,enter_password,password_incorrect_notice,timeout_expired_notice,logout
English,Name,Size,Modified,Item,Items,File,Files,Folder,Folders,by,Sort by Name,Sort by Modified,Sort by Size,Error,Incorrect permissions,Go back,Try again,New Folder,New File,Rename,Delete,Edit,Details,List,Icons,Password,Submit,Cut,Copy,Paste,Duplicate,Enter Password,Password incorrect; please try again.,Timeout has expired; please re-enter password.,Logout
Russian,Имя,Размер,Изменён,Наименование,Наименования,Файл,Файлы,Папка,Папки,по,Упорядочить по имени,Сортировать по Дата изменения ,Сортировать за размером,Ошибка,Неправильные разрешения ,Назад,Попробуйте снова,Новая папка,Новый файл,Переименовать,Удалить,Изменить,Детали,Список,Иконки,Пароль,представлять,вырезать,копирование,вставить,дублировать,введите пароль,Пароль неверны; Попробуйте еще раз. ,"Тайм-аут истек; пожалуйста, введите пароль.",Выход
German,Name,Größe,Geändert,Element,Elemente,Datei,Dateien,Ordner,Ordner,von,Nach Namen ordnen,Nach Änderung ordnen,Nach Größe ordnen,Fehler,Unzureichende Erlaubnisse,Zurück,Erneut versuchen,Neuer Ordner,Neue Datei,Umbenennen,Löschen,Bearbeiten,Einzelheiten,Liste,Symbole,Passwort,Senden,Schneiden,Kopie,Einfügen,Duplizieren,Geben Sie das Passwort,Passwort falsch; Bitte versuchen Sie es erneut. ,Timeout abgelaufen ist; bitte nochmals eingeben Passwort.,Abmelden
Japanese,名前,サイズ,修正された,アイテム,アイテム,ファイル ,ファイル,フォルダ,フォルダ,バイ,名前順 ,並べによって変更 ,並べ規模別,エラー,不正なアクセス許可,戻る,再試行する,新規フォルダ,新規ファイル,リネーム,削除,編集,細部,リスト,アイコン,パスワード,提出する,カット,コピー,ペースト,重複しています。,パスワードを入力します,パスワード正しくない;もう一度やり直してください。 ,タイムアウトの有効期限が切れています。パスワードを再入力してください。,ログアウト
Spanish,Nombre,Tamaño,Modificado,Elemento,Artículos,Fichero,Ficheros,Directorio,Directorios,por,Ordenar por Nombre ,Ordenar por Modificado ,Ordenar por Tamaño,Error,Permisos incorrectos,Volver,Inténtelo de nuevo,Nueva carpeta,Nuevo Archivo,Rebautizar,Borrar,Editar,Detalles,Lista,Iconos,Contraseña,Presentar,Corte,Copia,Pegar,Duplicado,Introducir Contraseña,"Contraseña incorrecta; Por favor, inténtelo de nuevo. ","Tiempo de espera ha expirado; por favor, vuelva a introducir la contraseña.",Salir
French,Nom,Taille,Modifier,Objet,Objets,Fichier,Fichiers,Dossier,Dossiers,par,Classer par Nom,Classer par Modification,Classer par Taille,Erreur,Permissions incorrectes,Retour,Réessayer,Nouveau dossier,Nouveau fichier,Renommer,Supprimer,Éditer,Détails,Liste,Icônes,Mot de passe,Envoyer,Couper,Copie,Coller,Dupliquer,Entrez Mot de passe,Mot de passe incorrect; s'il vous plaît essayer à nouveau.,Timeout a expiré; s'il vous plaît ré-entrer le mot de passe.,Déconnexion
Chinese,名称,大小,改性,项目,项目,文件,档,夹,文件夹,通过,按名称排序 ,排序方式修改 ,按大小排序,错误,不正确的权限,回去,再试一次,新建文件夹,新文件,重命名,删除,编辑,详细信息,表,图标,密码,提交,,切,复制,粘贴,输入密码,密码不正确;请重试,超时已过期;请重新输入密码。,注销
Portuguese,Nome,Tamanho,Modificado,Item,Itens,Arquivo,Arquivos,Dobrador,Folders,por,Ordenar por Nome,Ordenar por Alterado,Ordenar por Tamanho,Erro,Permissões incorretas,Voltar,Tentar novamente,Nova Pasta,Novo ficheiro,Alterar o nome,Eliminar,Editar,Detalhes,Lista,Ícones,Palavra-passe,Enviar,Corte,Cópia,Colar,Duplicar,Digitar Senha,Senha incorreta; por favor tente novamente.,Timeout expirou; por favor re-digite a senha.,Sair
Italian,Nome,Dimensione,Modificato,Oggetto,Oggetti,File,Files,Cartella,Cartelle,da,Ordina per Nome ,Ordina per Modifica,Ordina per dimensione,Errore,Permessi non corretti,Torna indietro,Riprova,Nuova cartella,Nuovo file,Rinomina,Cancella,Modifica,Dettagli,Lista,Icone,Password,Invia,Tagliare,Copia,Incollare,Duplicare,Immettere Password,Password sbagliata; Si prega di riprovare. ,Timeout è scaduto; si prega di inserire nuovamente la password.,Logout
Polish,Nazwa,Rozmiar,Zmodyfikowany,Przedmiotów,Przedmioty,Plik,Pliki,Folder,Foldery,przez,Sortuj według nazwy ,Sortuj według Zmodyfikowany ,Sortuj według rozmiaru,Błąd,Nieprawidłowe uprawnienia,Wracać,Spróbuj ponownie,Nowy folder,Nowy plik,Zmień nazwę,Usuń,Edytuj,Szczegóły,Lista,Ikony,Hasło,Przedkładać,Wytnij,Kopiuj,Wklej,Duplikuj,Wprowadź Hasło,Hasło niepoprawne; Spróbuj ponownie. ,Czasu upłynął; należy ponownie wprowadzić hasło.,Wyloguj się
